target1	 mdice = 0.4689096816300413
target2	 mdice = 0.8796725920171478
target3	 mdice = 0.9013766097103261
target4	 mdice = 0.012619406979268163
target5	 mdice = 0.3068564940441842
target6	 mdice = 0.47335153493659426
target7	 mdice = 0.7727493610898152
target8	 mdice = 0.905637614804954
target9	 mdice = 0.4617610680481813
target10	 mdice = 0.24608460765455664
target11	 mdice = 0.03747720520461754
target12	 mdice = 0.006665706923226645
target13	 mdice = 0.034631828379838255
For the sample, avg_dice = 0.42367643934021165

