target1	 mdice = 0.8655491869499821
target2	 mdice = 0.9437370589022178
target3	 mdice = 0.9393072839655165
target4	 mdice = 0.8185182555685137
target5	 mdice = 0.7950566729893183
target6	 mdice = 0.8749079674731599
target7	 mdice = 0.8644992244591011
target8	 mdice = 0.893877669085462
target9	 mdice = 0.8930901829136345
target10	 mdice = 0.5898366741695268
target11	 mdice = 0.6820487541463759
target12	 mdice = 0.6889472301963033
target13	 mdice = 0.6953203417241973
For the sample, avg_dice = 0.8111305001956391

